	k_groups_corrected
TIMP2	7k101
POSTN	7k101
MMP19	7k101
GPM6B	7k101
ITGA7	7k101
ADAM12	7k101
LOX	7k101
COL1A1	7k101
GPR4	7k101
PTHLH	7k101
ROR2	7k101
RARB	7k101
ECM1	7k101
ANXA6	7k101
SNAI1	7k101
PRRX1	7k101
CCN4	7k101
CYP26B1	7k101
TGFB3	7k101
NPR3	7k101
FSTL3	7k101
CLEC5A	7k101
SNED1	7k101
ZYX	7k101
CDH13	7k101
FZD4	7k101
TLN1	7k101
GPR161	7k101
GPR176	7k101
AKAP12	7k101
ADCY2	7k101
TBXA2R	7k101
S100A4	7k101
NOTCH4	7k101
NRP2	7k101
LZTS1	7k101
RASIP1	7k101
TREM2	7k101
NPC1	7k101
MTMR9	7k101
APOC1	7k101
CD81	7k101
P3H3	7k101
HOMER3	7k101
LMCD1	7k101
NR4A3	7k101
CCL8	7k101
TNFAIP6	7k101
MSR1	7k101
APBA2	7k101
FCGR1A	7k101
FCGR1B	7k101
TRPC6	7k101
PLXND1	7k101
CCL7	11k88
FCER1G	11k88
CCL3L1	11k88
CCL11	11k88
CYP7B1	11k88
ADAM8	11k88
RARRES2	11k88
PLA2G7	11k88
S100A9	11k88
SLAMF8	11k88
CSF3R	11k88
ADGRE2	11k88
CCL2	11k88
CCR1	11k88
CCL3	11k88
C5AR1	11k88
CCL3L3	11k88
CCL4	11k88
TIAM1	11k88
ICAM1	11k88
LILRB3	11k88
GM2A	11k88
LILRB2	11k88
SLC2A5	11k88
ITGAX	11k88
FCGR2A	11k88
FGR	11k88
CHI3L1	11k88
FCGR3B	11k88
FCN1	11k88
COTL1	11k88
LILRA2	11k88
LAIR1	11k88
MMP9	11k88
TLR2	11k88
MNDA	11k88
PTGFR	11k88
MRC1	11k88
IL1B	11k88
IRAK3	11k88
HCK	11k88
PDCD1LG2	11k88
FMO1	11k88
NLRP3	11k88
P2RY6	11k88
CLEC7A	11k88
TLR8	11k88
MMP12	11k88
CD84	11k88
BTN2A2	11k88
BCL6	11k88
FCGR3A	11k88
NCF2	11k88
PLEK	11k88
CTSL	11k88
FYB1	11k88
LCP2	11k88
CD300C	11k88
CACNA2D3	11k88
SPI1	11k88
SNX10	11k88
TREM1	11k88
NPL	11k88
APOBEC3A	11k88
DPEP2	11k88
ALOX5AP	11k88
RAB8B	11k88
CHST6	11k88
BACH2	11k88
AKR1B1	11k88
STX11	11k88
SCARF1	11k88
HSD11B1	11k88
ST8SIA4	11k88
AQP9	11k88
LAS1L	37k33
DKC1	37k33
RNF113A	37k33
UTP14A	37k33
AIMP2	37k33
HSD17B10	37k33
CSTF2	37k33
GNL3L	37k33
POLA1	37k33
RPA3	37k33
APEX2	37k33
RNASEH2A	37k33
AIFM1	37k33
BCAP31	37k33
TIMM17B	37k33
NSDHL	37k33
NUDT1	37k33
MT1E	47k27
MT2A	47k27
MT1F	47k27
MT1X	47k27
MT1M	47k27
MT1H	47k27
MT1HL1	47k27
GSN	47k27
PTGER2	47k27
PDE4D	47k27
NEDD9	47k27
TRIP13	9k96
PTTG1	9k96
KIF14	9k96
SMC2	9k96
KIF4A	9k96
NCAPG	9k96
NUSAP1	9k96
KIF2C	9k96
NCAPD2	9k96
BUB1	9k96
ESPL1	9k96
MAD2L1	9k96
HNRNPU	9k96
CDCA8	9k96
NEK2	9k96
RACGAP1	9k96
CENPE	9k96
PLK1	9k96
TTK	9k96
ZWINT	9k96
CDC20	9k96
PRC1	9k96
TOP2A	9k96
MIS18A	9k96
HJURP	9k96
MKI67	9k96
ECT2	9k96
CDK1	9k96
RAD54L	9k96
E2F8	9k96
PLK4	9k96
BLM	9k96
TOPBP1	9k96
DTL	9k96
CKAP5	9k96
CNOT9	9k96
HMMR	9k96
CDC25A	9k96
STIL	9k96
NAT10	9k96
RBM14	9k96
CCNF	9k96
ASPM	9k96
AUNIP	9k96
HELLS	9k96
CHAF1B	9k96
G3BP1	9k96
SUV39H1	9k96
CENPI	9k96
ERCC6L	9k96
HMGB2	9k96
CHAF1A	9k96
SKP2	9k96
FOXM1	9k96
MELK	9k96
CCNA2	9k96
GNL3	9k96
CEP55	9k96
KIF20A	9k96
ORC6	9k96
RRM1	9k96
MCM10	9k96
PRIM2	9k96
SMARCC1	9k96
RPGRIP1L	9k96
TSN	9k96
PARPBP	9k96
ACTL6A	9k96
KIF15	9k96
GCSH	9k96
GART	9k96
SHMT2	9k96
PSMG1	9k96
CPSF6	9k96
RBM15	9k96
NELFA	9k96
RRP1B	9k96
RIOX2	9k96
SHQ1	9k96
EXOSC2	9k96
FANCI	9k96
TTF2	9k96
OLA1	9k96
MTIF2	9k96
MUC2	26k43
GALNT12	26k43
MUC4	26k43
GALNT7	26k43
MUC5B	26k43
ST3GAL4	26k43
B4GALT4	26k43
NANS	26k43
CREB3L1	26k43
ATP2A3	26k43
ERN2	26k43
FUT3	208k7
FUT6	208k7
FUT2	208k7
STARD5	208k7
DOP1B	208k7
PPP6C	208k7
EPN3	208k7
CD19	12k86
IGLL5	12k86
CD38	12k86
IGKC	12k86
IGHA1	12k86
IGHG3	12k86
IGHV3-23	12k86
TRBC1	12k86
PRKCB	12k86
MS4A1	12k86
CCR7	12k86
CD79A	12k86
IGHV4-31	12k86
LAX1	12k86
IGHG2	12k86
IGLC1	12k86
TRAC	12k86
WAS	12k86
IGHV1-69	12k86
CD3D	12k86
IGHG1	12k86
STAP1	12k86
IGHG4	12k86
CD247	12k86
IGHD	12k86
IGHA2	12k86
IGHM	12k86
MZB1	12k86
SASH3	12k86
POU2AF1	12k86
CD27	12k86
RASGRP1	12k86
IGLV1-44	12k86
IGLV6-57	12k86
IRF4	12k86
SEMA4A	12k86
CCL19	12k86
LY9	12k86
CFP	12k86
SLAMF7	12k86
JCHAIN	12k86
CD6	12k86
CD2	12k86
FOLR2	12k86
DNASE1L3	12k86
IGKV1D-13	12k86
TRDV2	12k86
VPREB3	12k86
CD52	12k86
GPR18	12k86
CCR10	12k86
CD33	12k86
ITGB7	12k86
PPP1R16B	12k86
MAP4K1	12k86
CD48	12k86
PIM2	12k86
LSM4	19k56
MRPS2	19k56
SNRPC	19k56
RPP40	19k56
BYSL	19k56
SNRPF	19k56
SNRPE	19k56
RPL7A	19k56
GEMIN6	19k56
TEX10	19k56
SNRPD2	19k56
RPS7	19k56
POP7	19k56
LSM8	19k56
POLR2I	19k56
LSM7	19k56
PRPF4	19k56
NDUFA7	19k56
MRPL48	19k56
MRPL17	19k56
MRPS33	19k56
MRPS12	19k56
POLR1C	19k56
ZNF473	19k56
POLR1E	19k56
RPP21	19k56
IARS1	19k56
TIMM13	19k56
TIMM10	19k56
ATP5MF	19k56
PSMD14	19k56
PSMB7	19k56
PAM16	19k56
MTCH2	19k56
TRIAP1	19k56
FXN	19k56
TRIM39	19k56
TUBA1B	35k34
TUBA1C	35k34
TUBA3D	35k34
TUBA4A	35k34
TUBA3C	35k34
KARS1	35k34
YARS1	35k34
CTPS1	35k34
MTHFD1	35k34
PANK3	16k61
SUCLG2	16k61
ACSM3	16k61
HMGCL	16k61
PPCS	16k61
SDHD	16k61
SDHA	16k61
SMPDL3B	16k61
LGR4	16k61
F2RL1	16k61
ACADS	16k61
RETSAT	16k61
PCK1	16k61
EPHX2	16k61
ATP8A1	16k61
ATP11B	16k61
PCDHGA1	34k34
PCDHGA2	34k34
PCDHGA6	34k34
PCDHGA11	34k34
PCDHGC5	34k34
PCDHGA8	34k34
PCDHGC4	34k34
PCDHGB4	34k34
PCDHGA12	34k34
PCDHGA5	34k34
PCDHGA3	34k34
PCDHGB1	34k34
PCDHGA10	34k34
PCDHGA4	34k34
PCDHGB5	34k34
PCDHGB7	34k34
PCDHGB6	34k34
PCDHGB2	34k34
PCDHGA7	34k34
PCDHGB3	34k34
PCDHGA9	34k34
PCDHGC3	34k34
DCTPP1	90k15
NTHL1	90k15
LCMT1	90k15
PMM2	90k15
GOT2	90k15
UGT1A3	13k73
UGT1A6	13k73
UGT1A10	13k73
SULT1B1	13k73
UGT1A1	13k73
UGT1A9	13k73
UGT1A4	13k73
UGT1A8	13k73
UGT1A5	13k73
UGT1A7	13k73
PPARGC1A	13k73
AOC1	13k73
CES2	13k73
HSD11B2	13k73
DHRS11	13k73
APOBR	13k73
NR5A2	13k73
FMO5	13k73
AKR1B10	13k73
SLC22A18	13k73
SLC26A3	13k73
NEDD4L	13k73
MYO1A	13k73
CDHR2	13k73
CDHR5	13k73
PLCE1	13k73
PIGZ	13k73
